uniquedocs_df.Title,uniquedocs_df.Abstract,uniquedocs_df.Authors,uniquedocs_df.placeOfPublication,uniquedocs_df.pubdate,uniquedocs_df.pubtitle,uniquedocs_df.year
15 Apartments in Co-op I To Go to Hospital Aides J,,," New York, N.Y.",9-Feb-58,New York Times (1923-Current file),1958
Most D.C. Firms Now Allow Coffee Breaks,"The Washington Personnel Association made a formal survey of 50 of the larger private firms in this area and concluded: ""The coffee break is becoming solidly entrenched as a fringe benefit."""," By S. Oliver Goodman Financial Editor
By S. Oliver Goodman Financial Editor"," Washington, D.C.",22-Mar-58,The Washington Post and Times Herald (1954-1959),1958
To House the Elderly,," JAUB, S
S
S JAUB
JAUB
S. JAUB."," New York, N.Y.",24-Mar-58,New York Times (1923-Current file),1958
Officials Fuss At Fire Probe,A row between assistant buildings commissioner Pat Barrett and Coroner Walter McCarron broke out yesterday during an inquest into the death of four persons in a Westside tenement fire last Thursday.,," Chicago, Ill.",24-May-58,The Chicago Defender (National edition) (1921-1967),1958
Do it Yourself--: WITH CRAFT PATTERNS ,," A NEELY HALL
A NEELY HALL"," Chicago, Ill.",31-Aug-58,Chicago Daily Tribune (1923-1963),1958
Dedicate Tabor Church Sunday,"Tabor Evangelical Lutheran church, 3532 Sunnyside av., will dedicate its recently modernized elementary school Sunday, the 52d anniversary of the church's founding.",," Chicago, Ill.",27-Nov-58,Chicago Daily Tribune (1923-1963),1958
Hospital Walls Gaily Decorated,"The new pediatrics and chronic illness divisions will be open from 1 to 5 p. m. Sunday at Resurrection hospital, 7435 Talcott av. Cost of the new divisions and an addition to the hospital sisters convent is about $1,125,000.",," Chicago, Ill.",30-Nov-58,Chicago Daily Tribune (1923-1963),1958
HOTEL SEEKS TO CONVERT TO APARTMENTS,"La Salle National bank, as trustee, has asked the Circuit Court for an order directing George L. Ramsey, building commissioner, to issue a permit to convert the four story Mira-mar hotel, 6218 Woodlawn av."," Priddy, Gladys
Gladys
Gladys Priddy
Priddy
GLADYS PRIDDY"," Chicago, Ill.",7-Dec-58,Chicago Daily Tribune (1923-1963),1958
Week By Week,"In the days of my youth I read a great deal. But now that I write 12 hours a day for a living, it seems impossible for me to read anything any more -- except my own writing. From the first drafts of one's own work through the final typed manuscript, much..."," Hughes, Langston
Langston
Langston Hughes
Hughes
LANGSTON HUGHES"," Chicago, Ill.",20-Dec-58,The Chicago Defender (National edition) (1921-1967),1958
Need Blood for Man Ill Many Years,"We are hopeful of obtaining type O negative blood for Mr. B., 70 years old, who has been under medical care for many years. Throat surgery saved his life seven years ago and there have..."," Brown, Sally Joy
Sally
Sally Joy Brown
Brown
Joy
SALLY JOY BROWN"," Chicago, Ill.",6-Jan-59,Chicago Daily Tribune (1923-1963),1959
"$130,000 Structure",,," Chicago, Ill.",5-Mar-59,Chicago Daily Tribune (1923-1963),1959
Dormitory Unit at College Set,,," Los Angeles, Calif.",22-Mar-59,Los Angeles Times (1923-Current File),1959
Build it from a pattern,," A Neely Hall
A Neely Hall"," Los Angeles, Calif.",19-Apr-59,Los Angeles Times (1923-Current File),1959
NORWOOD HOME WILL ENLARGE 50 PER CENT,"Construction is well under way on a three story addition to Norwood Park Home for the Aged, 6016 Nina av. The new facilities will increase the home's capacity from 100 to 150 persons.",," Chicago, Ill.",30-Aug-59,Chicago Daily Tribune (1923-1963),1959
Church Plans New Facilities,,," Los Angeles, Calif.",4-Oct-59,Los Angeles Times (1923-Current File),1959
"The Lowthers (Romeo, Juliet) Now Are One","North Conway, N.H., Jan. 5. -- The turbulent, parent-balked romance of pretty socialite, Eileen (Juliet) Herrick and George (Romeo) Lowther 3d rocketed into a long-delayed rendezvous with a preacher in this White Mountain ski center today."," By the Associated Press
By the Associated Press"," Washington, D.C.",6-Jan-40,The Washington Post (1923-1954),1940
MOUNT VERNON SEMINARY,"OLDEST NONSECTARIAN boarding school for girls in Washington -- and one of the most distinguished -- is Mount Vernon Seminary, which occupies a beautiful campus on Nebraska avenue.",," Washington, D.C.",17-Mar-40,The Washington Post (1923-1954),1940
FOUR INJURED IN FIRE,,," New York, N.Y.",27-Mar-40,New York Times (1923-Current file),1940
The Shopper's Notebook,," Bartlett, Maxine
Maxine
Maxine Bartlett
Bartlett
MAXINE BARTLETT"," Los Angeles, Calif.",25-Jul-40,Los Angeles Times (1923-Current File),1940
BRITISH LAUNCH DRIVE TO EXCEED NAZI PRODUCTION,," Rue, Larry
Larry
Larry Rue
Rue
LARRY RUE"," Chicago, Ill.",5-Nov-40,Chicago Daily Tribune (1923-1963),1940
DIES IN PARK AVE. BLAST,,," New York, N.Y.",30-Nov-40,New York Times (1923-Current file),1940
"MOTHER KILLS CHILD, THEN ENDS HER LIFE","After killing her 7-year-old daughter by gas poisoning while attempting to end her own life, Mrs. John Peck ran to the roof of the six-story apartment house at 36-11 Bowne Street, Flushing, Queens, shortly after 2:20 o'clock this morning and jumped to her death in the courtyard below.",," New York, N.Y.",25-Mar-41,New York Times (1923-Current file),1941
Rents Average $52 for New D.C. Dwellings,"The average monthly rental asked for the 6,900 dwelling units constructed for rent in the District in the last 15 months is $52, according to a survey conducted by the Work Projects Administration.",," Washington, D.C.",13-Jun-41,The Washington Post (1923-1954),1941
URBAN TO USE OWN CAMPUS,,," Los Angeles, Calif.",20-Jun-41,Los Angeles Times (1923-Current File),1941
"Bruce Petway, Catcher Of National Fame, Dies","Death ""tagged"" Buddy Petway, Friday, at the Cook county hospital where he had been sick a month--but Buddy went out smiling just as he took things in life. Tuesday afternoon, former teammates of Buddy, listened to the...",," Chicago, Ill.",12-Jul-41,The Chicago Defender (National edition) (1921-1967),1941
Home Spray Erases Odors of Cooking,"The charm of daintiness cannot be overemphasized, daintiness in your personal appearance and in your home. Not every girl realizes this and we know of one who lost a favorite beau because her rooms smelled of cooking every time..."," Lane, Lydia
Lydia
Lydia Lane
Lane
LYDIA LANE"," Los Angeles, Calif.",15-Jul-41,Los Angeles Times (1923-Current File),1941
Residence Is Altered Into Ten Apartments,,," New York, N.Y.",20-Jul-41,New York Times (1923-Current file),1941
So Mr. Pelham Took His Pride And Hurried Home,"Poor Mr. William Pelham, white, is concluding that there just ain't no such thing as justice any more. In the first place, the price of a good time on Chicago's South side is much too dear."," Orro, David H
David
David H Orro
Orro
H
DAVID H ORRO"," Chicago, Ill.",9-Aug-41,The Chicago Defender (National edition) (1921-1967),1941
Good Cooking Still Helps a Girl Win Love,"Do we see signs of the young man caller being met at the door by a girl not hatted or asking: ""Where do we go from here, Bill?"""," Blake, Doris
Doris
Doris Blake
Blake
DORIS BLAKE"," Chicago, Ill.",12-Dec-41,Chicago Daily Tribune (1923-1963),1941
Further Hints On Making Home Livable,"THERE is something almost unbelievable about the way life continues in its familiar routine even through the most devastating events. Though most people in the world will be affected by the outcome of the present war, a comparatively few numerically take part in its action. That, of course, is why civilization persists, even through tremendous crises in the world's history."," By Elizabeth McRae Boykin
By Elizabeth McRae Boykin"," Washington, D.C.",14-Feb-42,The Washington Post (1923-1954),1942
Two Pretty House Frocks,,," Chicago, Ill.",14-Apr-42,Chicago Daily Tribune (1923-1963),1942
Dana Villa Central to Many Southland Points of Interest,,," Los Angeles, Calif.",19-Jun-42,Los Angeles Times (1923-Current File),1942
APARTMENT RENTALS,,," New York, N.Y.",2-Jan-43,New York Times (1923-Current file),1943
Meat Extenders go Summery!,"JELLIED HAMLOAF entices with its cool sheen, lively seasonings, and zippy flavor. Practical, too! A lower-point cut of meat. Meat tastily extended with those crunchy whole wheat flakes, Wheaties."," Crocker, Betty
Betty
Betty Crocker
Crocker
Betty Crocker"," Chicago, Ill.",13-Jun-43,Chicago Daily Tribune (1923-1963),1943
Accordion Houses Made of Plastics Previewed,"Accordion houses, which can be folded in a few hours and moved to new sites by truck or rail, were demonstrated here today to scientists celebrating inauguration of the Goodyear Tire &amp; Rubber Co.'s new $1,350,000 research laboratory.",," Los Angeles, Calif.",23-Jun-43,Los Angeles Times (1923-Current File),1943
PROBE MYSTERY IN ODD ILLNESS OF NUDE COUPLE,"Mr. and Mrs. Russell Cadwallader, both presumably victims of a poisonous gas that escaped from a defective mechanical refrigerator in their apartment at 1431...",," Chicago, Ill.",16-Oct-43,Chicago Daily Tribune (1923-1963),1943
Preview Future of Dried Foods at War Exhibit,"The army quartermaster corps' exhibit of dehydrated foods at the Weapons of War show in Burnham park, sponsored by the United States treasury with the cooperation of the army service forces. In the interest of the fifth war loan, brings inquiries from 90 per cent...",," Chicago, Ill.",19-Jul-44,Chicago Daily Tribune (1923-1963),1944
CANNING EXHIBITION GIVEN BY RED CROSS,"A ""three ring"" canning demonstration with spectators privileged to roam from one room to another to watch the progress of fruits, vegetables and meat from a state of rawness to preservation in a jar by three different methods was held yesterday at the Red Cross instruction center, 401 Fifth Avenue.",," New York, N.Y.",20-Jul-44,New York Times (1923-Current file),1944
Breakfast-Bridge Club Skips Wartime Vacation,"Mrs. Harold Booth Link, who has served for 13 years as president of the Breakfast-Bridge Club, has directed the group in many war services, which are continued throughout vacation time, even though no program meetings are"," Wilson, Bess M
Bess
Bess M Wilson
Wilson
M
BESS M WILSON"," Los Angeles, Calif.",11-Aug-44,Los Angeles Times (1923-Current File),1944
MIDTOWN OFFICES SOLD TO OPERATOR,"A property in the Times Square area passed to new control with the announcement yesterday that Nathan Wilson, operator, had purchased the twelve - story office building at 156 West Forty-fourth Street, near Broadway, from Emil Friedlander.",," New York, N.Y.",26-Aug-45,New York Times (1923-Current file),1945
White Collar GIRL,"Did you hear about the quizminded steno? She accosted her boss with, ""I'm going to get a raise. True or false?"""," RUTH MAC KAY
RUTH MAC KAY"," Chicago, Ill.",25-Sep-45,Chicago Daily Tribune (1923-1963),1945
GAS BLAST WRECKS HOME,"Ninety-one families living in the six-story furnished apartment building at 414 West 120th Street, north of Columbia University grounds, were startled about 8 o'clock last night when an explosion in Apartment 509 blew out windows there, sent the Venetian ...",," New York, N.Y.",21-Dec-45,New York Times (1923-Current file),1945
Use of Parks Granted for Housing Veterans,"By unanimous vote the Los Angeles Park Commission yesterday granted three years' use of space in Griffith Park and Bannig Park for location of housing units for veterans and their families, totaling more than 5000 persons.",," Los Angeles, Calif.",18-Jan-46,Los Angeles Times (1923-Current File),1946
8th National Trailer Show Opens Today,"The eighth National Trailer Coach show will open in the Coliseum at 1 p. m. today, with more than 100 trailers, costing from $2,600 to $15,000, on display. The show, the first to be held since 1941, will extend thru March 24 and will be open daily from 1 p. m. to midnight."," Hampson, Philip
Philip
Philip Hampson
Hampson
PHILIP HAMPSON"," Chicago, Ill.",16-Mar-46,Chicago Daily Tribune (1923-1963),1946
"RADCLIFFE GETS $125,000",,," New York, N.Y.",14-Dec-47,New York Times (1923-Current file),1947
PREFAB HOUSE COSTS SOAR IN BRITAIN,"Prefabricated aluminum bungalows today are costing the British taxpayer $6,440 each, which is $840 more than the Laborite' government permits a private citizen to spend for a new permanent house, according to..."," Veysey, Arthur
Arthur
Arthur Veysey
Veysey
ARTHUR VEYSEY"," Chicago, Ill.",18-Dec-47,Chicago Daily Tribune (1923-1963),1947
APARTMENTS TO RISE ON EAST 79TH STREET,,," New York, N.Y.",21-Dec-47,New York Times (1923-Current file),1947
' FUND-RAISING' PARTY IN APARTMENT RAIDED,"Four plainclothes patrolmen raided a cocktail party yesterday afternoon in an East Side apartment, given to raise funds for activities of the New York Advertising Chapter, American Veterans Committee, and arrested a woman and two men on charges of selling liquor without a license.",," New York, N.Y.",2-Feb-48,New York Times (1923-Current file),1948
SIMPLE DOWN UNDER,"""YOU KNOW, I was down under in Harlem the other night,"" said Simple, ""way down on Lenox Avenue and it was so cold I went into a barbecue place thinking I might maybe take an order of spare ribs and cole slaw to Joyce if I had enough change, and at the same time get warm. Man..."," Hughes, Langston
Langston
Langston Hughes
Hughes
Langston Hughes"," Chicago, Ill.",28-Feb-48,The Chicago Defender (National edition) (1921-1967),1948
HOLD JUBILEE OVER SCHOOL WINGS TODAY,"Park Ridge residents will gather in the gymnasium of Lincoln school at 3 p.m. today to take part in the program celebrating the completion and dedication of additions to two schools costing an aggregate of $763,560.",," Chicago, Ill.",7-Mar-48,Chicago Daily Tribune (1923-1963),1948
Seven Point Hotel Sold By Trust Co. Of Chicago,,," Chicago, Ill.",11-Apr-48,Chicago Daily Tribune (1923-1963),1948
Two Manhattan Apartment Alteration Jobs iCompleted in Time for Summer Occupancy,,," New York, N.Y.",11-Jul-48,New York Times (1923-Current file),1948
Urges Citizens To Help Solve Housing Crisis,"With the theme ""Let's Do Something About Housing,"" Journee W. White, housing consultant and investment broker, this week announced a plan for a major housing development.",," Chicago, Ill.",17-Jul-48,The Chicago Defender (National edition) (1921-1967),1948
"RAJAH CALLS HIS $10,000,000 SPREE A RUMOR","The maharajah of Baroda said today be would fly to India to face charges that he financed an almost $10,000,000 six week spending spree by dipping into the state treasury.",," Chicago, Ill.",12-Aug-48,Chicago Daily Tribune (1923-1963),1948
Wilshire Hotel Almost Ready,"Westwood Manor Hotel, fourstory hotel-apartment structure of New Orleans Colonial design at 10527 Wilshire Blvd., is nearing completion. Site and building, with furnishings and decorations for the 120 rooms and two penthouses, represent total investment...",," Los Angeles, Calif.",10-Oct-48,Los Angeles Times (1923-Current File),1948
"Remodeling Outlay Total Is $500,000",Remodeling and modernizing six north side properties at a total cost of a half million dollars will contribute 25 new apartments toward alleviating Chicago's housing shortage and make several new shops and business facilities available.," Chase, Al
Al
Al Chase
Chase
AL CHASE"," Chicago, Ill.",20-Nov-48,Chicago Daily Tribune (1923-1963),1948
"BUILD $100,000 PARISH HOUSE IN LA GRANGE","Construction is underway on the second unit of the parish house of Emmanuel Episcopal church, La Grange. The addition will cost approximately $100,000.",," Chicago, Ill.",23-Jan-49,Chicago Daily Tribune (1923-1963),1949
STAR'S COOKING ATTACKED,"Ruth Chatterton, stage and screen actress, is a pretty gamey cook, according to Sydney J. Dicketts, supervisor of the Ritz Tower Hotel, and at least one guest, Walter C. Strauss, who are seeking a court order to enjoin her from cooking in her apartment.",," New York, N.Y.",17-Mar-49,New York Times (1923-Current file),1949
SAN PEDRO DEDICATES NEW LIBRARY TODAY,"San Pedro will dedicate its new library today, a 60x100-foot stucco of modern lines, and the first branch constructed by the City of Los Angeles in 10 years.",," Los Angeles, Calif.",1-May-49,Los Angeles Times (1923-Current File),1949
Blind School Votes Hufty Life Pension,"The controversy between the Columbia Polytechnic Institute for the Blind and its former vice president, French S. Hufty, appeared yesterday to be ready for solution as soon as a suitable place is found for him to live.",," Washington, D.C.",19-Nov-49,The Washington Post (1923-1954),1949
DEFENDANTS PAY HALF OF FINES IN BUILDING COURT,"Fines of $400 and costs were paid by Edward Gottlieb and Irving Weiss in two of four actions involving properties at 820-22 Oakwood blvd, and 830 Oakwood blvd. Gottlieb and Weiss are president and vice president, respectively, of the Oakwood-Ellis Build-..."," Priddy, Gladys
Gladys
Gladys Priddy
Priddy
GLADYS PRIDDY"," Chicago, Ill.",9-Nov-50,Chicago Daily Tribune (1923-1963),1950
Article 2 -- No Title,"WINTER PARK, Fla., March 18 (Special). -- Police Chief Carl Buchanan said today he was unable to find a motive for the double suicide of young Mr. and Mrs. Philip Martin Moninger, jr., who were found dead yesterday in their locked, gas-filled apartment here.",," Washington, D.C.",19-Mar-51,The Washington Post (1923-1954),1951
COUNTY BANKING BILL VETOED BY GOVERNOR,"ALBANY, March 21--Governor Dewey vetoed today a bill that would have permitted the depositing of county funds in a bank of which the county treasurer was an officer or stockholder on the ground that it was ""impractical and undesirable."""," Special to THE NEW YORK TIMES.
Special to THE NEW YORK TIMES."," New York, N.Y.",22-Mar-51,New York Times (1923-Current file),1951
BREAK GROUND TODAY FOR PARK FOREST CHURCH,"Ground will be broken for the first unit of the United Protestant church of Park Forest following regular church services at 11 a. m. today in the Holiday theater, where the congregation meets pending construction of a church.",," Chicago, Ill.",3-Jun-51,Chicago Daily Tribune (1923-1963),1951
REAL ESTATE NOTES,"Three one week reservations for two persons at luxury hotels in Miami Beach, San Juan, P. R., and Havana will be prizes at the annual outing of the brokers divi-...",," Chicago, Ill.",9-Aug-52,Chicago Daily Tribune (1923-1963),1952
Rites for New Chapel Slated,,," Los Angeles, Calif.",1-Nov-52,Los Angeles Times (1923-Current File),1952
Coast College Will Dedicate New Art Center,"Dedication ceremonies will be conducted at 7:15 p.m. tomorrow for the new $210,000 Art Center at Orange Coast College, providing modern studios and laboratories for painting, photography, ceramics, jewelry, drafting...",," Los Angeles, Calif.",5-Nov-52,Los Angeles Times (1923-Current File),1952
GROUND BREAKING SET FOR SCHOOL BUILDING,The rapidly growing First Presbyterian Church of Whittier will break ground today at 3:45 p.m. for a new classroom building to house its expanding Sunday school.,," Los Angeles, Calif.",21-Dec-52,Los Angeles Times (1923-Current File),1952
"Sales Volume Hits $3,000,000",,," Los Angeles, Calif.",4-Jan-53,Los Angeles Times (1923-Current File),1953
FINANCIER'S DAUGHTER FOUND DEAD IN LONDON,,," New York, N.Y.",20-Jan-53,New York Times (1923-Current file),1953
Virginia,The March of Dimes parade program over the Norfolk area was a complete success in that it is carried out annually for a most worthy cause. Down at the large and modern Chesapeake Manor Housing project. Mesdames Collins Glover and Beatrice Capps,," Chicago, Ill.",14-Feb-53,The Chicago Defender (National edition) (1921-1967),1953
CHURCH SCHOOL FUND CAMPAIGN TO OPEN TODAY,"A $300,000 fund raising campaign for erection of a new church school will be launched today by Winnetka Congregational church.",," Chicago, Ill.",10-May-53,Chicago Daily Tribune (1923-1963),1953
NEW LUTHERAN SCHOOL UNIT TO BE DEDICATED,"The Lutheran Church of St. Philip, Bryn Mawr and Campbell avs., will dedicate a new $260,300 school and parish activities building at 3 p. m. today. The Rev. Victor C. Rickman, pastor, will officiate.",," Chicago, Ill.",10-May-53,Chicago Daily Tribune (1923-1963),1953
PLAN TO ERECT NURSES HOME AT ST. THERESE,"Plans for erection of a nurses home and for expansion of patient facilities have been announced by officials of St. Therese hospital, Waukegan.",," Chicago, Ill.",17-May-53,Chicago Daily Tribune (1923-1963),1953
FARM RESEARCH EXPANSION STILL ON IKE PROGRAM,"President Eisenhower topped off an inspection tour of the agriculture department's 11,000 acre research center at nearby Beltsville, Md. today by pledging his support of an expanded government agricultural research program.",," Chicago, Ill.",27-May-53,Chicago Daily Tribune (1923-1963),1953
START BUILDING NEW NAZARETH NURSES HOME,"Work has begun on a 2 million dollar nurses home for St. Mary of Nazareth hospital, 1120 N. Leavitt st., culminating plans and fund raising activities of more than seven years.",," Chicago, Ill.",7-Jun-53,Chicago Daily Tribune (1923-1963),1953
TANGY LIME MERINGUES,,," Los Angeles, Calif.",28-Jun-53,Los Angeles Times (1923-Current File),1953
CHURCH TO LAY ANNEX STONE IN EVANSTON,"Ceremonies for laying the corner stone of a new two story addition to Immanuel Lutherar church, Lake st. and Sherman av., Evanston, will be held at noon Sunday, following morning worship service.",," Chicago, Ill.",16-Jul-53,Chicago Daily Tribune (1923-1963),1953
HEARST PAPER AIDE DIES,"Edgar M. Swasey, who had been associated with the Hearst newspapers for the last thirtythree years, died last night shortly after he had been found semiconscious in his gas-filled apartment at 21 West Fifty-eighth Street.",," New York, N.Y.",2-Jan-54,New York Times (1923-Current file),1954
Whittier Church Will Dedicate New Building,,," Los Angeles, Calif.",17-Jan-54,Los Angeles Times (1923-Current File),1954
"$11,000,000 Unit's Plans Prepared",," a Times Correspondent
a Times Correspondent"," Los Angeles, Calif.",7-Mar-54,Los Angeles Times (1923-Current File),1954
OWNER GETS BACK BIBLE LOST IN 1918,,," Los Angeles, Calif.",11-Apr-54,Los Angeles Times (1923-Current File),1954
PORT CHESTER GETS NEW TEXTILE OFFICE,,," New York, N.Y.",20-Jun-54,New York Times (1923-Current file),1954
HBI Advisory Group Named,,," Los Angeles, Calif.",20-Jun-54,Los Angeles Times (1923-Current File),1954
"BEGIN ADDITION, REMODELING AT SUBURB CHURCH","Construction recently began on an addition to the Methodist Church of Elmhurst and remodeling in the present building at a total cost of $104,000. Completion is expected by December.",," Chicago, Ill.",1-Jul-54,Chicago Daily Tribune (1923-1963),1954
WOMAN HURT IN BLAST,"Mrs. Grace Perpall, a former contract bridge champion and wife of a retired Wall Street business man and coin collector, was injured critically at 10:20 A. M. yesterday in a gas explosion in her apartment at 277 Park Avenue, between Forty-seventh and Forty-eighth Streets. Mrs. Perpall, who is 55 years old, was taken to Bellevue Hospital.",," New York, N.Y.",16-Sep-54,New York Times (1923-Current file),1954
WACS Get First 'Real Home'; Boasts New Frills,"FORT McCLELLAN, Ala., The new $3,700,000 Women's Army Corps Center here in Northern Alabama is making good all the promises that accompanied its opening last summer."," By Emma Bugbee
By Emma Bugbee"," Washington, D.C.",19-Nov-54,The Washington Post and Times Herald (1954-1959),1954
"Get Army Job and See World, Says L.A. Miss","Miss Dee Ramos, a pert, brown-eyed brunette, returned to Los Angeles from Japan yesterday with advice for single women with travel yearnings: ""Get a job as an Army secretary and see the world.",," Los Angeles, Calif.",13-Jan-55,Los Angeles Times (1923-Current File),1955
"$1,000,000 Shopping Center Planned for West Covina","Benjamin L. Abramson and Richard L. Clark and associates have announced plans for the development of a shopping center in West Covina to be known as the ""Sunset Shopping Center,"" costing in excess of $1,000,000.",," Los Angeles, Calif.",17-Apr-55,Los Angeles Times (1923-Current File),1955
"Husband's Parents Meddle, and He Disappears",DEAR MRS. STARR: My husband came back from Korea in 1953 and we got along fairly well until he arrived at a permanent camp. Then his parents pressured him to divorce me and I haven't heard from him in a year. If and," Starr, Adaline
Adaline
Adaline Starr
Starr
ADALINE STARR"," Chicago, Ill.",7-Jul-55,Chicago Daily Tribune (1923-1963),1955
Major Vienna Crisis Threatened on Housing,VIENNA -- Vienna's acute housing shortage is threatening to cause a major crisis.," By Harry Gelber
By Harry Gelber"," Washington, D.C.",14-Feb-56,The Washington Post and Times Herald (1954-1959),1956
WOMEN'S CLUB OPENS NEW HEADQUARTERS,,," New York, N.Y.",18-May-56,New York Times (1923-Current file),1956
Rapid Selling Volume Told,"A rapid sales pace is being maintained at Valley Vista Homes development, according to Joseph H. Collins, builder.",," Los Angeles, Calif.",12-Aug-56,Los Angeles Times (1923-Current File),1956
Former Fire Station to Be Dedicated as Church,The former headquarters of Engine Co. 19 of La Crescenta will begin serving the community in a different capacity after today.,," Los Angeles, Calif.",23-Sep-56,Los Angeles Times (1923-Current File),1956
APARTMENT HOUSE SOLD TO HOSPITAL,"The ten-story fireproof apartment building at 410 West Fifty-eighth Street has been purchased by Roosevelt Hospital for $625,000. It will provide housing for the hospital's nursing and medical staffs and for other personnel.",," New York, N.Y.",17-Oct-56,New York Times (1923-Current file),1956
Two Additions Set for Hospital,"Increased emergency facilities and a large staff room for doctors will be added to Pasadena's St. Luke Hospital at Washington St. and Del Rey Ave., in a $100,000 improvement program now under way.",," Los Angeles, Calif.",13-Jan-57,Los Angeles Times (1923-Current File),1957
Mother-in-Law Killed by Shot Through Door,"Mrs. Lupe Duran, 55, was killed early today by a rifle bullet fired, police said, by her son-in-law, Thomas Raymond Luna Jr., 24, through the door of the Luna apartment into which he was trying to force his way.",," Los Angeles, Calif.",23-May-57,Los Angeles Times (1923-Current File),1957
Dance to Open Student Center at Fullerton JC,"Dedication ceremonies for the $170,000 student center building at Fullerton Junior College will be a departure from the ordinary when a ""Dedication Formal"" dance for students will be staged in the new...",," Los Angeles, Calif.",22-Sep-57,Los Angeles Times (1923-Current File),1957
"$170,000 School Unit Completed",,," Los Angeles, Calif.",6-Oct-57,Los Angeles Times (1923-Current File),1957
FAKE DROWNING TAKES BOSTON TRIO TO COURT,"Alvin G. Plackter, 37, a business man, today was charged with larceny of in connection with what police described as his fake drowning in Boston harbor. He pleaded innocent and was held in lieu...",," Chicago, Ill.",17-Oct-57,Chicago Daily Tribune (1923-1963),1957
Author to Be Speaker at Library Dedication,"A noted author who was graduated from Fullerton Junior College 38 years ago will return to the campus today to speak at ceremonies dedicating the college's new $44,000 libraryclassroom building.",," Los Angeles, Calif.",20-Oct-57,Los Angeles Times (1923-Current File),1957
Rite Sunday At Addition To School,"The cornerstone will be laid Sunday for a $300,000 addition to the educational building of the Chevy Chase Presbyterian Church, Chevy Chase circle.",," Washington, D.C.",18-Jan-58,The Washington Post and Times Herald (1954-1959),1958
BURGLAR SHOT DEAD IN 57TH ST. HOUSE,A burglar was shot dead yesterday noon by a policeman who caught him ransacking an apartment in West Fifty-seventh Street.,," New York, N.Y.",22-Jan-58,New York Times (1923-Current file),1958
COOPERATIVE DUE TO OPEN BY APRIL 1,,," New York, N.Y.",2-Feb-58,New York Times (1923-Current file),1958
Front Views &amp; Profiles,"There are only two things wrong with vacations; they end too soon and they don't occur often enough. Ours was spent absorbing the April sunshine in Palm Beach, where we were the fortunate occupants of a..."," LUCY KEY MILLER
LUCY KEY MILLER"," Chicago, Ill.",6-May-58,Chicago Daily Tribune (1923-1963),1958
Officials Fuss At Fire Probe,A row between assistant buildings commissioner Pat Barrett and Coroner Walter McCarron broke out yesterday during an inquest into the death of four persons in a Westside tenement fire last Thursday.,," Chicago, Ill.",14-May-58,Daily Defender (Daily Edition) (1956-1960),1958
Officials Fuss At Fire Probe(2),A row between assistant buildings commissioner Pat Barrett and Coroner Walter McCarron broke out yesterday during an inquest into the death of four persons in a Westside tenement fire last Thursday.,," Chicago, Ill.",24-May-58,The Chicago Defender (National edition) (1921-1967),1958
JEWELS TO THEME SORORITY PARLEY,"""Jewels to Enrich Your Life"" will be the theme of the third annual convention of Kappa Phi Sigma sorority Saturday at the Statler Hilton Hotel, Los Angeles, announces Mrs. Aline Kinsey of this city, regent president.",," Los Angeles, Calif.",13-Jul-58,Los Angeles Times (1923-Current File),1958
"Comfort, convenience on beautiful Mission Bay",,," Los Angeles, Calif.",13-Jul-58,Los Angeles Times (1923-Current File),1958
COLLEGE SETS DEDICATION OF NEW BUILDING,"A new library-classroom building costing more than $700,000 will be dedicated on the campus of North Park college at 3 p. m. next Sunday",," Chicago, Ill.",14-Sep-58,Chicago Daily Tribune (1923-1963),1958
Appliances Practical Presents,"Smart Santas will note that convenient timesavers have blossomed forth with a sparkling beauty of modern design that makes them at home on dining, buffet, supper or patio table, as well as in the kitchen work...",," Los Angeles, Calif.",30-Nov-58,Los Angeles Times (1923-Current File),1958
Off the RECORD,"DOROTHY MAE STEVENS, Chicago's ""Deep Freeze"" woman everyone seems to have forgotten, will be in for a dismal Christmas unless Chicagoans remember. If you'l recall, Mrs. Stevens was found in a Southside alley on Feb. 8, 1951, frozen stiff. Her recovery..."," Blackwell, Lee
Lee
Lee Blackwell
Blackwell
LEE BLACKWELL"," Chicago, Ill.",9-Dec-58,Daily Defender (Daily Edition) (1956-1960),1958
COLLEGE SEEKS FEDERAL LOAN FOR DORMITORY,Mundelein college will apply this week for a 1 million dollar government loan for construction of a seven story dormitory on the southwest corner of Sheridan road and Kenmore avenue.,," Chicago, Ill.",11-Jan-59,Chicago Daily Tribune (1923-1963),1959
'Li'l Abner' Opens Monday,"""Li'I Abner,"" musical comedy version, moves into the Blackstone Monday night for a two week engagement with Patricia Northrop as Daisy Mae, Bob Kave in the title role, and Charlotte Nolan as Mammy Yokum.",," Chicago, Ill.",15-Mar-59,Chicago Daily Tribune (1923-1963),1959
2 New Buildings Will Be Erected at Lennox Park,ÿ A senior citizens building and another recreation building will be added to the facilities at Lennox Park. according to a county official.,," Los Angeles, Calif.",12-Jul-59,Los Angeles Times (1923-Current File),1959
